time_us,speed_ms,acceleration,yaw,steer_angle,throttle_status,break_status,auto_state
1569494437349921,7.29344,0.0197754,-0.377166,-0.15708,4.8,0,0
1569494437369912,7.28551,0.020874,-0.377358,-0.15708,4.8,0,0
1569494437389594,7.28664,0.0168457,-0.377358,-0.174533,4.8,0,0
1569494437413059,7.29456,0.0292969,-0.377358,-0.174533,4.8,0,0
1569494437429780,7.2906,0.0227051,-0.377358,-0.174533,4.8,0,0
1569494437449332,7.28889,0.0179443,-0.37755,-0.174533,4.8,0,0
1569494437469842,7.28947,0.0175781,-0.37755,-0.174533,4.8,0,0
1569494437489395,7.2838,0.0245361,-0.37755,-0.174533,4.8,0,0
1569494437509710,7.28209,0.0245361,-0.37755,-0.191986,4.8,0,0
1569494437529608,7.28321,0.019043,-0.377742,-0.191986,4.8,0,0
1569494437549400,7.28151,0.0249023,-0.377742,-0.191986,4.8,0,0
1569494437569558,7.28209,0.0344238,-0.377934,-0.191986,4.8,0,0
1569494437609352,7.29398,0.020874,-0.378126,-0.191986,4.8,0,0
1569494437629630,7.29965,0.0241699,-0.378126,-0.20944,4.8,0,0
1569494437649358,7.30023,0.0216064,-0.378318,-0.20944,4.8,0,0
1569494437670339,7.29114,0.00732422,-0.378684,-0.20944,4.8,0,0
1569494437689763,7.29566,0.0303955,-0.378876,-0.20944,4.8,0,0
1569494437710047,7.29736,0.0270996,-0.379068,-0.20944,4.8,0,0
1569494437729493,7.29794,0.0355225,-0.37926,-0.226893,4.8,0,0
1569494437749494,7.30303,0.00476074,-0.379452,-0.226893,4.8,0,0
1569494437769619,7.3002,0.0340576,-0.379644,-0.226893,4.8,0,0
1569494437789311,7.30076,0.0197754,-0.379836,-0.226893,4.8,0,0
1569494437809327,7.30133,0.013916,-0.380028,-0.244346,4.8,0,0
1569494437829399,7.29793,0.0223389,-0.38022,-0.244346,4.8,0,0
1569494437849413,7.29623,0.00256348,-0.380412,-0.244346,4.8,0,0
1569494437869684,7.29965,0.0446777,-0.380412,-0.244346,4.8,0,0
1569494437889637,7.30303,0.00805664,-0.380604,-0.244346,4.8,0,0
1569494437909397,7.30303,0.0270996,-0.380796,-0.261799,4.8,0,0
1569494437929709,7.30643,0.00915527,-0.38118,-0.261799,4.8,0,0
1569494437949920,7.30813,0.0362549,-0.381372,-0.261799,4.8,0,0
1569494437969779,7.30926,0.0150146,-0.381564,-0.261799,4.8,0,0
1569494437989351,7.31266,0.00915527,-0.381948,-0.279253,4.8,0,0
1569494438009723,7.31097,0.0355225,-0.38214,-0.279253,4.8,0,0
1569494438029379,7.3087,0.0102539,-0.382524,-0.279253,4.8,0,0
